,chapter,lemma,grammar,word_th_trans_en,freq,loan,hg_context
9730,П,пеедьфти,"V, intr",шутливый,1,False,True
9731,П,пеелем,N,коса,19,False,False
9732,П,пектин,N,пектин,1,True,False
9733,П,пеккедь,"N, body",брюшина,10,False,False
9734,П,пекиямс,"V, intr",забеременеть,17,False,False
9736,П,пекияма,N,забеременеть,2,False,False
9737,П,Пекин,"N, PN, topn",Пекин,22,True,False
9739,П,пеки,A,беременная,1,False,False
9741,П,пеке,"N, body",живот,79,False,False
9742,П,пекарь,"N, anim, hum",пекарь,9,True,False
9743,П,пекарня,N,пекарня,12,True,False
9744,П,пеезь,N,пенка,2,False,False
9745,П,пекал,"N, body",брюхо,10,False,False
9746,П,пейзиволь,"N, body",десна,12,False,False
9747,П,пейзаж,N,пейзаж,16,True,False
9748,П,пейфтома,"N, body",зуб,1,False,False
9749,П,пей,A,беззубый,1,False,False
9750,П,пей,"N, body",зуб,83,False,False
9751,П,пезфтамс,"V, tr",воткнуть,19,False,False
9752,П,пезомс,"V, intr","провалиться, погрузиться",29,False,False
9753,П,пежетьтоба,PARENTH,"честное слово, ей-богу",2,False,False
9754,П,пеже,N,грех,342,False,False
9755,П,пееськя,"N, dim",пеночка,1,False,False
9756,П,пеензамс,"V, intr",зазубриться,5,False,False
9757,П,пеельня,"N, dim",ножик,1,False,False
9758,П,пейня,"N, dim, body",зубик,12,False,False
9759,П,пе,N,конец,24,False,False
9760,П,пелемс,"V, intr",конец,12,False,False
9762,П,патриарх,"N, anim, hum",патриарх,275,True,False
9763,П,патология,N,патология,1,True,False
9764,П,патока,N,патока,2,True,False
9765,П,патефон,N,патефон,2,True,False
9766,П,патент,N,патент,2,True,False
9767,П,пасынка,N,пасынок,1,False,False
9768,П,Пасха,"N, time_meas",Пасха,4,True,False
9769,П,Пастернак,"N, PN, famn",Пастернак,3,True,False
9770,П,паства,N,плата пастуху за весь период пастьбы,1,False,False
9771,П,паста,N,паста,3,True,False
9772,П,пассажирскяй,A,пассажирский,11,False,False
9773,П,пассажир,"N, anim, hum",пассажир,37,True,False
9774,П,патриархат,N,патриархат,3,True,False
9775,П,паспорт,N,паспорт,41,True,False
9776,П,пас,N,пас,2,True,False
9777,П,парямс,"V, tr",парить,31,False,False
9778,П,парьхциня,"N, dim","парча, шёлк",1,False,False
9779,П,парьхциень,N,"шёлковый, парчовый",2,False,False
9780,П,парьхци,A,"парча, шёлк",2,False,False
9781,П,парьхци,N,"парча, шёлк",6,False,True
9782,П,парьня,"N, dim",бочонок,7,False,False
9783,П,парь,N,"кадка, бочка",27,False,False
9784,П,парши,N,имущество; драгоценности; добро,172,False,False
9785,П,паруснай,A,парусный,1,False,False
9786,П,парус,N,парус,1,True,False
9787,П,партшкола,N,партшкола,1,True,False
9788,П,пасека,N,пасека,2,True,False
9789,П,патриархия,N,патриархия,21,True,False
9790,П,патриот,"N, anim, hum",патриот,117,True,False
9791,П,патриотизма,N,патриотизм,69,False,False
9797,П,паяндамс,"V, tr",паять,1,False,False
9798,П,паяльник,N,паяльник,1,True,False
9799,П,паяльнай,A,паяльный,2,False,False
9800,П,Паша,"N, PN, persn",Паша,12,True,False
9801,П,пачфтемс,"V, tr",доставить; сообщить,1111,False,False
9802,П,пачфнема,N,доставка,49,False,False
9803,П,пачкодемс,"V, intr",дойти; поспеть,609,False,False
9804,П,пачкалга,N,сковородка,12,False,False
9805,П,пачка,N,пачка,39,True,False
9806,П,пачк,ADV,пополам; насквозь,201,False,False
9807,П,пачаня,"N, dim",блинчик,2,False,False
9808,П,пача,N,блин,170,False,False
9809,П,пацяня,"N, dim, body",крылышко,1,False,False
9810,П,пациент,"N, anim, hum",пациент,43,True,False
9811,П,Пахомов,"N, PN, famn",Пахомов,1,True,False
9812,П,паутинка,N,платок,1,False,False
9813,П,патя,"N, anim, hum",дядя,3,False,False
9814,П,патронажнай,A,патронажный,1,False,False
9815,П,патронаж,N,патронаж,2,True,False
9816,П,патрон,N,патрон,2,True,False
9817,П,патриотка,"N, anim, hum",патриотка,2,True,False
9818,П,патриотическяй,A,патриотический,116,False,False
9819,П,Пелагей,"N, PN, persn",Пелагей,1,True,False
9820,П,Пелагея,"N, PN, persn",Пелагея,27,True,False
9821,П,пелезь-трнатозь,ADV,осторожно,1,False,False
9822,П,пелезь,ADV,бояться,46,False,False
9823,П,Пермь,"N, PN, topn",Пермь,17,True,False
9824,П,Перминов,"N, PN, famn",Перминов,1,True,False
9825,П,периферия,N,периферия,1,True,False
9826,П,периодическяй,A,периодический,44,False,False
9827,П,периодика,N,периодика,2,True,False
9828,П,период,N,период,20,True,False
9829,П,перинатальнай,A,перинатальный,43,False,False
9830,П,перила,N,перила,1,True,False
9831,П,перец,N,пбрец,26,False,False
9832,П,переход,N,переход,6,True,False
9833,П,переулка,N,переулок,1,False,False
9834,П,перестройка,N,перестройка,17,True,False
9835,П,пермяк,"N, anim, hum",пермяк,2,True,False
9836,П,переселенец,"N, anim, hum",переселенец,26,True,False
9837,П,перерыв,N,перерыв,4,True,False
9838,П,переработчик,"N, anim, hum",переработчик,1,True,False
9839,П,переработка,N,переработка,38,True,False
9840,П,перерабатывающай,A,перерабатывающий,38,False,False
9841,П,переправа,N,переправа,3,True,False
9842,П,переподготовка,N,переподготовка,4,True,False
9843,П,перепись,N,перепись,343,True,False
9844,П,переписчик,"N, anim, hum",переписчик,14,True,False
9845,П,переписка,N,переписка,1,True,False
9846,П,переня,"N, dim",огородик,8,False,False
9847,П,перемена,N,перемена,4,True,False
9848,П,переливания,N,переливание,10,False,False
9849,П,пересадка,N,пересадка,2,True,False
9850,П,Пермякова,"N, PN, famn",Пермякова,1,True,False
9851,П,перо,N,перо,4,True,False
9852,П,Перов,"N, PN, famn",Перов,1,True,False
9853,П,Пестова,"N, PN, famn",Пестова,1,True,False
9854,П,Пестов,"N, PN, famn",Пестов,2,True,False
9855,П,пестицид,N,пестицид,1,True,False
9856,П,пестик,N,пестик,1,True,False
9857,П,песта-пес,ADV,от начала до конца,1,False,False
9858,П,песок,N,песок,4,True,False
9859,П,Песня,"N, PN",Песня,13,True,False
9860,П,Пескова,"N, PN, famn",Пескова,1,True,False
9861,П,Песков,"N, PN, famn",Песков,18,True,False
9862,П,пескарь,"N, anim",пескарь,1,True,False
9863,П,перяфкс,N,"забор, изгородь; плотина",70,False,False
9864,П,перяфкс,"V, tr",огородить,16,False,False
9865,П,перямс,N,"забор, изгородь; плотина",16,False,False
9866,П,перямс,"V, tr",огородить,107,False,False
9867,П,перьфпяльдень,A,"близлежащий, соседний",18,False,False
9868,П,перьфпяльге,N,окрестность,14,False,False
9869,П,перьфпяль,ADV,кругом,14,False,False
9870,П,перьфпяль,N,окрестность,138,False,False
9871,П,перьф,"N, body",талия,158,False,False
9872,П,перчатка,N,перчатка,5,True,False
9873,П,перспективнай,A,перспективный,39,False,False
9874,П,персонификация,N,персонификация,1,True,False
9875,П,персональнай,A,"персональный, личный",20,False,False
9876,П,персонал,N,персонал,26,True,False
9877,П,персонаж,"N, anim, hum",персонаж,17,True,False
9878,П,персик,N,персик,3,True,False
9879,П,перрон,N,перрон,6,True,False
9880,П,перекупщик,"N, anim, hum",перекупщик,1,True,False
9881,П,партсъезд,N,партсъезд,3,True,False
9882,П,перекрёсток,N,перекрёсток,2,True,False
9883,П,перекладина,N,перекладина,1,True,False
9884,П,пеня,N,огрызок; кончик,15,False,False
9885,П,пенчкорь,N,лукошко или корбока для хранения ложек,2,False,False
9886,П,пенсия,N,пенсия,329,True,False
9887,П,пенсионнай,A,пенсионный,148,False,False
9888,П,пенсионерка,"N, anim, hum",пенсионерка,38,True,False
9889,П,пенсионер,"N, anim, hum",пенсионер,170,True,False
9890,П,пенициллин,N,пенициллин,5,True,False
9891,П,Пензенскяй,"A, topn",Пензенский,312,False,False
9892,П,пензамс,"V, intr",спросить,48,False,False
9893,П,Пенза,"N, PN, topn",Пенза,48,True,False
9895,П,пе,"N, PN, topn",конец,6,False,False
9896,П,пеняцязь,ADV,жалобно,1,False,False
9897,П,Пенза,N,Пенза,6,True,False
9898,П,пенгя,N,дрова,84,False,False
9899,П,пенальти,N,пенальти,7,True,True
9900,П,пенал,N,пенал,1,True,False
9901,П,пемза,N,пемза,2,True,False
9902,П,пелькстомс,"V, intr",опасность,12,False,False
9903,П,пелькс,N,испугаться,12,False,False
9905,П,пели,A,"боязливый, трусливый",13,False,False
9906,П,пелемс,A,"боязливый, трусливый",63,False,False
9908,П,пелемаши,N,страх,2,False,False
9911,П,пеняцямс,"V, intr","пенять, жаловаться; обижаться",1,False,False
9912,П,пеняцяй,"N, anim, hum",кляузник,14,False,False
9914,П,перекись,N,перекись,8,True,False
9915,П,переживания,N,переживание,1,False,False
9916,П,переезд,N,переезд,3,True,False
9917,П,передовик,"N, anim, hum",передовик,20,True,False
9918,П,передача,N,передача,87,True,False
9919,П,перегон,N,перегон,1,True,False
9920,П,Паасонен,"N, PN, famn",Паасонен,10,True,False
9921,П,переворот,N,переворот,1,True,False
9922,П,перевозчик,"N, anim, hum",перевозчик,1,True,False
9923,П,переводчик,"N, anim, hum",переводчик,40,True,False
9924,П,перевод,N,перевод,12,True,False
9925,П,перевал,N,перевал,2,True,False
9926,П,перень,N,огородный,92,False,False
9927,П,пере,A,огород,92,False,False
9928,П,пере,N,огород,160,False,False
9929,П,Пергия,"N, PN, topn",Пергия,2,True,False
9930,П,пергамент,N,пергамент,1,True,False
9931,П,перга,N,перга,3,True,False
9932,П,первомай,"N, time_meas",первомай,1,True,False
9933,П,первоклассник,"N, anim, hum",первоклассник,1,True,False
9934,П,первобытнай,A,первобытный,3,False,False
9935,П,первичнай,A,первичный,48,False,False
9936,П,первичка,N,первичка,2,True,False
9937,П,первенства,N,первенство,95,False,False
9938,П,пера,N,перо,40,False,False
9939,П,пепельница,N,пепельница,1,True,False
9941,П,перекличка,N,перекличка,1,True,False
9942,П,парторганизация,N,парторганизация,4,True,False
9943,П,парторг,"N, anim, hum",парторг,6,True,False
9944,П,партконференция,N,партконференция,1,True,False
9945,П,палочка,N,палочка,7,True,False
9946,П,паломс,"V, intr",гореть,295,False,False
9947,П,палня,"N, dim",мяско,4,False,False
9948,П,палканя,"N, dim",палочка,8,False,False
9949,П,палка,N,палка,3,True,False
9950,П,палитра,N,палитра,3,True,False
9951,П,палисадник,N,палисадник,1,True,False
9952,П,Палестина,"N, PN, topn",Палестина,1,True,False
9953,П,палеонтология,N,палеонтология,1,True,False
9954,П,палач,"N, anim, hum",палач,1,True,False
9955,П,палатка,N,палатка,10,True,False
9956,П,палата,N,палата,184,True,False
9957,П,палуба,N,палуба,4,True,False
9958,П,палата,"V, tr",поцеловать,1,False,False
9959,П,паламс,"V, tr",поцеловать,22,False,False
9960,П,палакс,N,крапива,39,False,False
9961,П,паломс,"V, tr",поцеловать,1,False,False
9962,П,паламс,"V, intr",гореть,1,False,False
9963,П,пала,N,"беда, несчастье",1,False,False
9965,П,пал,N,гореть,26,False,False
9967,П,пава,"N, anim",пава,1,True,False
9968,П,пава,A,"опухоль, отёк",1,False,False
9969,П,павада,N,"опухший, припухший",1,False,False
9970,П,павадь,"N, anim",пава,1,False,False
9971,П,паламс,N,палата,1,False,False
9972,П,пальма,N,пальма,1,True,False
9973,П,пальма,A,пальма,2,True,False
9974,П,пальмань,N,пальмовый,2,False,False
9975,П,пандоз,N,"узда, уздечка",7,False,False
9976,П,панденя,"N, dim",грядка,60,False,False
9977,П,панде,N,грядка,7,False,False
9978,П,пандомс,"V, tr",гора | заплатить | заткнуть,40,False,False
9979,П,панда,N,гора | заплатить | заткнуть,40,False,False
9981,П,пангоня,"N, dim",грибок,2,False,False
9983,П,пангонь,A,грибной,1,False,False
